pinyin_key	candidate
jhjz	oligopyrene sperm
jhny	alkalized urine
jiaban	fitting strip
jiaban	vise (as torture instrument)
jiafeimao	Garfield (comic strip cat created by Jim Davis)
jiagun	leg vise (torture instrument)
jialiaozengduo	potassium urine increased
jianao	to torture
jianao	torture
jiangdou	semen vignae unguiculatae
jiangetiao	spacing strip
jianhejingzhi	oligopyrene sperm
jianhejingzi	oligopyrene sperm
jianhejinzi	oligopyrene sperm
jianhualiaoye	alkalized urine
jianhuaniaoye	alkalized urine
jianiaozenduo	potassium urine increased
jianiaozengduo	potassium urine increased
jianiaozhengduo	potassium urine increased
jianli	erection
jianni	erection
jianpizhixie	invigorate the spleen to arrest diarrhea
jianpizixie	invigorate the spleen to arrest diarrhea
jianqiao	vagina tendinis
jiansa	to rape and murder
jiansha	to rape and murder
jianshudai	deceleration strip
jiansu	rape
jiansu	to rape
jiansudai	deceleration strip
jianwu	rape
jianwu	to rape
jianyijicang	strip
jianyijichang	strip
jianyin	ass-rape
jianyin	rape
jianying	ass-rape
jianying	rape
jianzao	erection
jianzhao	erection
jianzhuangde	lustful
jianzhuwu	erection
jianzuwu	erection
jiaoji	(slang) (Cantonese) to visit a prostitute
jiaoji	high-class prostitute
jiaotiao	strip compound
jiaqiangjin	stop-off strip
jiaqiangjing	stop-off strip
jiaqiao	bridge erection
jiasadidai	Gaza strip
jiasazhoulang	gaza strip
jiasazoulang	gaza strip
jiasazounang	gaza strip
jiashadidai	Gaza strip
jiashazoulang	gaza strip
jiaxingliaoshijin	pseudo incontinence of urine
jiaxingliaoshijin	pseudo-incontinence of urine
jiaxingniaoshijin	pseudo incontinence of urine
jiaxingniaoshijin	pseudo-incontinence of urine
jiaxingniaoshijing	pseudo incontinence of urine
jiaxingniaoshijing	pseudo-incontinence of urine
jiaxingniaosijin	pseudo incontinence of urine
jiaxingniaosijin	pseudo-incontinence of urine
jiaxinniaoshijin	pseudo incontinence of urine
jiaxinniaoshijin	pseudo-incontinence of urine
jibai	to fuck around with
jibaili	diarrhea alba
jibaili	white diarrhea of chicks
jibaini	diarrhea alba
jibaini	white diarrhea of chicks
jiechupian	contact strip
jiecupian	contact strip
jiekouban	demarcation strip
jietijianca	strip inspection
jietijiancha	strip inspection
jiexianban	terminal strip
jiexianxiang	terminal strip
jiezi	semen brassicae junceae
jiezi	semen sinapis
jifendai	integral strip
jifengdai	integral strip
jiguanhua	flos et semen celosiae
jiji	penis
jiji	penis (childish)
jiliaodai	urine drainage bag
jiludai	recording strip
jilv	prostitute
jilv	whore
jindai	(in the context of Chinese history) the period from the Opium Wars until the May 4th Movement (mid-19th century to 1919)
jindaishi	modern history (for China, from the Opium Wars until the fall of the Qing Dynasty, i.e. mid-19th to early 20th century)
jindaisi	modern history (for China, from the Opium Wars until the fall of the Qing Dynasty, i.e. mid-19th to early 20th century)
jindu	prohibition of opium
jing	semen
jing	sperm
jingdai	(in the context of Chinese history) the period from the Opium Wars until the May 4th Movement (mid-19th century to 1919)
jingdaishi	modern history (for China, from the Opium Wars until the fall of the Qing Dynasty, i.e. mid-19th to early 20th century)
jinglang	sperm bladder
jingluanjiehe	egg sperm binding
jingluanjiehe	egg-sperm binding
jingluanjiehe	sperm egg binding
jingluanjiehe	sperm egg fusion
jingluanjiehe	sperm-egg binding
jingluanjiehe	sperm-egg fusion
jingluanronghe	egg sperm fusion
jingluanronghe	egg-sperm fusion
jingluanxianghuzhuo	sperm egg interaction
jingluanxianghuzuo	sperm egg interaction
jingmi	semen oryzae sativae
jingmuxibao	sperm mather cell
jingmuxibao	sperm mother cell
jingnang	sperm bladder
jingnuanjiehe	egg sperm binding
jingnuanjiehe	egg-sperm binding
jingnuanjiehe	sperm egg binding
jingnuanjiehe	sperm egg fusion
jingnuanjiehe	sperm-egg binding
jingnuanjiehe	sperm-egg fusion
jingnuanronghe	egg sperm fusion
jingnuanronghe	egg-sperm fusion
jingnuanxianghuzhuo	sperm egg interaction
jingqu	genital areas
jingshupian	metallic strip
jingshutiao	metal strip
jingshutiao	strip metal
jingxibao	sperm cell
jingye	sperm
jingye	sperma semen
jingyelengdong	sperm storage
jingyeliang	sperm volume
jingyenengdong	sperm storage
jingyeniang	sperm volume
jingyou	sperm oil
jingyou	sperm oils
jingzhibianmao	sperm flagellum
jingzhifasheng	sperm formation
jingzhihuodongli	motility of sperm
jingzhihuoli	sperm activity
jingzhihuoli	sperm motility
jingzhihuoli	sperm viability
jingzhihuoneng	capacitation of sperm
jingzhihuoneng	sperm capacitation
jingzhijishu	sperm count
jingzhijishu	sperm counts
jingzhiku	sperm bank
jingzhiku	sperm banks
jingzhiku	sperm-bank
jingzhiku	sperm-banks
jingzhimidu	sperm count
jingzhimidu	sperm density
jingzhinang	sperm sac
jingzhiningjisu	sperm agglutinin
jingzhiningjisu	sperm-agglutinin
jingzhishouti	sperm-receptor
jingzhishu	number of sperm
jingzhishu	sperm number
jingzhiyichang	sperm abnormality
jingzi	semen
jingzi	sperm
jingzibianmao	sperm flagellum
jingzifaseng	sperm formation
jingzifashen	sperm formation
jingzifasheng	sperm formation
jingzihuodongli	motility of sperm
jingzihuodongni	motility of sperm
jingzihuoleng	capacitation of sperm
jingzihuoleng	sperm capacitation
jingzihuoli	sperm activity
jingzihuoli	sperm motility
jingzihuoli	sperm viability
jingzihuonen	capacitation of sperm
jingzihuonen	sperm capacitation
jingzihuoneng	capacitation of sperm
jingzihuoneng	sperm capacitation
jingzihuoni	sperm activity
jingzihuoni	sperm motility
jingzihuoni	sperm viability
jingzijishu	sperm count
jingzijishu	sperm counts
jingzijisu	sperm count
jingzijisu	sperm counts
jingziku	sperm bank
jingziku	sperm banks
jingziku	sperm-bank
jingziku	sperm-banks
jingzilang	sperm sac
jingzilingjisu	sperm agglutinin
jingzilingjisu	sperm-agglutinin
jingzimidu	sperm count
jingzimidu	sperm density
jingzinang	sperm sac
jingziningjishu	sperm agglutinin
jingziningjishu	sperm-agglutinin
jingziningjisu	sperm agglutinin
jingziningjisu	sperm-agglutinin
jingzishouti	sperm-receptor
jingzishu	number of sperm
jingzishu	sperm number
jingzisouti	sperm-receptor
jingzisu	number of sperm
jingzisu	sperm number
jingziyicang	sperm abnormality
jingziyichang	sperm abnormality
jiniaodai	urine drainage bag
jinluanjiehe	egg sperm binding
jinluanjiehe	egg-sperm binding
jinluanjiehe	sperm egg binding
jinluanjiehe	sperm egg fusion
jinluanjiehe	sperm-egg binding
jinluanjiehe	sperm-egg fusion
jinluanronghe	egg sperm fusion
jinluanronghe	egg-sperm fusion
jinluanxianghuzhuo	sperm egg interaction
jinmi	semen oryzae sativae
jinmuxibao	sperm mather cell
jinmuxibao	sperm mother cell
jinnang	sperm bladder
jinqu	genital areas
jinshupian	metallic strip
jinshutiao	metal strip
jinshutiao	strip metal
jinsuo	genital cord
jinsupian	metallic strip
jinsutiao	metal strip
jinsutiao	strip metal
jinudai	recording strip
jinv	prostitute
jinv	whore
jinxibao	sperm cell
jinyan	prohibition on opium (esp. in China from 1729)
jinye	semen
jinye	sperm
jinye	sperma semen
jinyelengdong	sperm storage
jinyeliang	sperm volume
jinyou	sperm oil
jinyou	sperm oils
jinzibianmao	sperm flagellum
jinzifasheng	sperm formation
jinzihuodongli	motility of sperm
jinzihuoli	sperm activity
jinzihuoli	sperm motility
jinzihuoli	sperm viability
jinzihuoneng	capacitation of sperm
jinzihuoneng	sperm capacitation
jinzijishu	sperm count
jinzijishu	sperm counts
jinziku	sperm bank
jinziku	sperm banks
jinziku	sperm-bank
jinziku	sperm-banks
jinzimidu	sperm count
jinzimidu	sperm density
jinzinang	sperm sac
jinzininjisu	sperm agglutinin
jinzininjisu	sperm-agglutinin
jinzishouti	sperm-receptor
jinzishu	number of sperm
jinzishu	sperm number
jinziyichang	sperm abnormality
jipo	prostitute
jirexiexie	pyretic diarrhea
jisache	left a strip
jishace	left a strip
jishache	left a strip
jitiqiangjian	gang rape
jiucaizhi	semen allii tuberosi
jiucaizi	semen allii tuberosi
jiuchaizi	semen allii tuberosi
jiujiwugengxiexie	alcoholic morning diarrhea
jiujiwugenxiexie	alcoholic morning diarrhea
jiujixie	alcoholic diarrhea
jiuxiebuzhi	chronic diarrhea
jiuxiebuzi	chronic diarrhea
jixinfuxie	acute diarrhea
jixingfuxie	acute diarrhea
jixingjingzhi	abnormal sperm
jixingjingzhi	defective sperm
jixingjingzi	abnormal sperm
jixingjingzi	defective sperm
jixingliaozhuliu	acute retention of urine
jixingniaozhuliu	acute retention of urine
jixingniaozhuniu	acute retention of urine
jixingniaozuliu	acute retention of urine
jixingzhi	semen impatientis
jixingzi	semen impatientis
jixinjinzi	abnormal sperm
jixinjinzi	defective sperm
jixinniaozhuliu	acute retention of urine
jixinzi	semen impatientis
jiyuan	whore-house
jiyuan	whore-houses
jizhixiexie	dyspeptic diarrhea
jizixiexie	dyspeptic diarrhea
jjwgxx	alcoholic morning diarrhea
jkb	demarcation strip
jlgj	erection reinforcement
jljh	egg sperm binding
jljh	egg-sperm binding
jljh	sperm egg binding
jljh	sperm egg fusion
jljh	sperm-egg binding
jljh	sperm-egg fusion
jlrh	egg sperm fusion
jlrh	egg-sperm fusion
jlxhz	sperm egg interaction
jms	suicide note
jmxb	sperm mather cell
jmxb	sperm mother cell
jmz	cassiae semen
jmz	semen cassiae
jmz	semen cassiae obtusifoliae
jn	prostitute
jnzd	potassium urine increased
jp	prostitute
jpzx	invigorate the spleen to arrest diarrhea
jqj	bridge girder erection machine
jqj	bridge-erection crane
jqj	stop-off strip
jrxx	pyretic diarrhea
jsc	left a strip
jsdd	Gaza strip
jsp	metallic strip
jszl	gaza strip
jtj	sperm whale
jtjc	strip inspection
jtm	Semen euryales (botany)
jtq	vagina processus styloidei
jtq	vagina processus styloidis
jtqj	gang rape
juanjin	sperm donation
juanjing	sperm donation
judade	massie
juebu	fuck-all
juefei	fuck all
juemin	to commit suicide
jueming	to commit suicide
juemingshu	suicide note
juemingsu	suicide note
juemingzhi	cassiae semen
juemingzhi	semen cassiae
juemingzhi	semen cassiae obtusifoliae
juemingzi	cassiae semen
juemingzi	semen cassiae
juemingzi	semen cassiae obtusifoliae
jueminshu	suicide note
jueminzi	cassiae semen
jueminzi	semen cassiae
jueminzi	semen cassiae obtusifoliae
juewu	fuck alls
jueyu	genital sterilization
jueyuandai	electric insulating strip
jueyuandai	insulating strip
jueyuandai	insulation strip
juhe	semen citri reticulatae
juke	nude stem groundsel herb
junji	military prostitute
jutoujin	sperm whale
jutoujing	sperm whale
jw	rape
jxbz	chronic diarrhea
jxfx	acute diarrhea
jxjz	abnormal sperm
jxjz	defective sperm
jxnsj	pseudo incontinence of urine
jxnsj	pseudo-incontinence of urine
jxnzl	acute retention of urine
jxx	terminal strip
jxxx	diarrhea associated with menstruation
jyfx	analysis of semen
jyfx	semen analysis
jyjc	examination of semen
jyjc	semen examination
jyjc	semen measurement
jyjc	strip
jyld	deep freezing of semen
jyld	freezing of semen
jyld	sperm storage
jzbm	sperm flagellum
jzfs	sperm formation
jzhdl	motility of sperm
jzhl	sperm activity
jzhl	sperm motility
jzhl	sperm viability
jzhn	capacitation of sperm
jzhn	sperm capacitation
jzjs	sperm count
jzjs	sperm counts
jzk	sperm bank
jzk	sperm banks
jzk	sperm-bank
jzk	sperm-banks
jzmd	sperm count
jzmd	sperm density
jzn	sperm sac
jznjs	sperm agglutinin
jznjs	sperm-agglutinin
jzs	number of sperm
jzs	sperm number
jzst	sperm-receptor
jzw	erection
jzxx	dyspeptic diarrhea
jzyc	sperm abnormality
kafeidou	semen coffeae arabicae
kaishidai	casparian strip
kaisidai	casparian strip
kaixingguo	semen pistaciae verae
kaixinguo	semen pistaciae verae
kangboluo	anti strip
kangboluo	anti-strip
kangbonuo	anti strip
kangbonuo	anti-strip
kangjingzhikangti	anti sperm antibody
kangjingzhikangti	anti-sperm antibody
kangjingzikangti	anti sperm antibody
kangjingzikangti	anti-sperm antibody
kangjinzikangti	anti sperm antibody
kangjinzikangti	anti-sperm antibody
kao	fuck
kao	to examine under torture
kao	to fuck (vulgar)
kaoda	to torture
kaoda	torture
kaoda	torture'
kaolue	to torture
kaolue	torture
kaolve	to torture
kaolve	torture
kaonve	to torture
kaonve	torture
kaowen	judicial torture
kaowen	to question via torture
kaowen	torture
kaowen	torture'
kaoweng	judicial torture
kaoweng	to question via torture
kaoweng	torture
kaoweng	torture'
kaowengshi	torture chambers
kaowenshi	torture chambers
kaowensi	torture chambers
kapuliweididai	caprivi strip
kapuniweididai	caprivi strip
kbl	anti strip
kbl	anti-strip
kd	condom
kekedou	cacao semen
kekedou	semen theobromatis
keluo	quero
kenggouyequyangzhitiao	filter paper strip
kengouyequyangzhitiao	filter paper strip
kengouyequyangzitiao	filter paper strip
kenuo	quero
kfd	semen coffeae arabicae
kgyqyzt	filter paper strip
kjm	vagina femoris
kjzkt	anti sperm antibody
kjzkt	anti-sperm antibody
koufu	ketamine
kouyanxinfuxie	cochin china diarrhea
kouyanxinfuxie	cochin-china diarrhea
kouyanxinfuxie	sprue diarrhea
kouyanxingfuxie	cochin china diarrhea
kouyanxingfuxie	cochin-china diarrhea
kouyanxingfuxie	sprue diarrhea
kplwdd	caprivi strip
kuojingmo	vagina femoris
kuojinmo	vagina femoris
kuxin	cruel torture
kuxin	self-torture
kuxin	torture
kuxin	torture'
kuxing	cruel torture
kuxing	self-torture
kuxing	torture
kuxing	torture'
kuxingren	semen armeniacae
kuxingren	semen armeniacae amara
kuxingren	semen armeniacae amarae
kuxingren	semen armeniacae amarum
kuxingreng	semen armeniacae
kuxingreng	semen armeniacae amara
kuxingreng	semen armeniacae amarae
kuxingreng	semen armeniacae amarum
kuxingzemo	torture and cruel treatment
kuxingzhemo	torture and cruel treatment
kuxingzhui	crime of torture
kuxingzui	crime of torture
kuxinren	semen armeniacae
kuxinren	semen armeniacae amara
kuxinren	semen armeniacae amarae
kuxinren	semen armeniacae amarum
kuxinzhemo	torture and cruel treatment
kuxinzui	crime of torture
kuxiu	self-torture
kws	torture chambers
kx	torture
kxg	semen pistaciae verae
kxr	semen armeniacae
kxr	semen armeniacae amara
kxr	semen armeniacae amarae
kxr	semen armeniacae amarum
kxz	crime of torture
kxzm	torture and cruel treatment
kyxfx	cochin china diarrhea
kyxfx	cochin-china diarrhea
kyxfx	sprue diarrhea
laduzhi	(coll.) to have diarrhea
laduzi	(coll.) to have diarrhea
laifuzhi	semen raphani sativi
laifuzi	semen raphani sativi
lakai	pull-strip
lalian	lock strip
langfeishijian	fuck the dog
langfeishijian	to fuck around
langfeisijian	fuck the dog
langfeisijian	to fuck around
languazi	semen cucurbita
languazi	semen cucurbitae
languazi	semen cucurbitae moschatae
lanji	male prostitute
lanji	whore
lanjingdatusha	rape of nanking
lanjingtiaoyue	Treaty of Nanjing (1842) that concluded the First Opium War between Qing China and Britain
lanmei	semen trigonellae
lanren	semen terminaliae catappae
lanreng	semen terminaliae catappae
laoduzi	(coll.) to have diarrhea
laoshiqu	rumble strip
latiao	lashing strip
laxi	(coll.) to have diarrhea
lazou	strip
lcl	abortion rate
lcl	abortion ratio
lcl	rate of abortion
ldl	naked cable
ldz	(coll.) to have diarrhea
le	(slang) penis
le	penis
leitiao	rib strip
leiyuanxianchongbin	cochin china diarrhea
leiyuanxianchongbin	cochin-china diarrhea
leiyuanxianchongbing	cochin china diarrhea
leiyuanxianchongbing	cochin-china diarrhea
leiyuanxiancongbing	cochin china diarrhea
leiyuanxiancongbing	cochin-china diarrhea
lfsj	fuck the dog
lfsj	to fuck around
lfz	raphani semen
lfz	semen raphani
lfz	semen raphani sativi
lht	comic strip
liangxipi	(dialect) fuck!
liangxuezhili	cooling blood to stop diarrhea
liangxuezili	cooling blood to stop diarrhea
lianhedai	adhesive strip
lianhuantu	comic strip
lianjiepian	connecting strip
lianjietiao	bond strip
lianjietiao	bonding strip
lianjietiao	connecting strip
lianzhi	nelumbinis semen
lianzhi	semen nelumbinis
lianzhu	footjob
lianzi	nelumbinis semen
lianzi	semen nelumbinis
lianzu	footjob
liao	penis
liaobeng	profuse urine
liaobi	retention of urine
liaobi	sappression of urine
liaobi	suppression of urine
liaobi	urine suppression
liaobizhong	specific gravity of urine
liaobizhong	urine specific gravity
liaodanhongsu	urine bilirubin
liaodansuyuan	urine urobilinogen
liaodaohaimiantiqiang	cavernae corporis spongiosi penis
liaodianfenmei	amylase in urine
liaodianfenmei	urine amylase
liaoerchafenanceding	urine catecholamine determination
liaohouyuli	dribble of urine
liaohu	urine bottle
liaojimei	urine plasminogen activator
liaoliang	urine output
liaoliang	urine volume
liaoliugaidaoshu	diversion of urine
liaolongsuoshiyan	urine concentration test
liaolongsuoshiyan	urine concentration test letter
liaopaichuliang	urine output
liaopeiyang	urine culture
liaopin	frequency of urine
liaorenshenshiyan	urine pregnancy test
liaosanbeishiyan	urine threeglass test
liaose	color of urine
liaose	urine color
liaoshentouya	osmotic pressure of urine
liaoshentouya	urine osmotic pressure
liaotang	glucose in urine
liaotang	urine glucose
liaotang	urine sugar
liaotangdingxingshiyan	qualitative test for glucose in urine
liaotongti	urine acetone bodies
liaowaishen	extravasation of urine
liaoxingfushui	urine ascites
liaoyang	urine
liaoyang	urine sample
liaoyaolongdu	urine drug level
liaoye	urine
liaoyichang	urine abnormal
liaozhuliu	retention of urine
liaozhuliu	urine retention
lideshouzhi	fuck-you finger
lidou	semen mucunae sempervirentis
liji	diarrhea
lingsuanyanniao	phosphate urine
lingzexu	Lin Zexu or Lin Tse-hsu "Commissioner Lin" (1785-1850), Qing official whose anti-opium activities led to first Opium war with Britain 1840-1842
linshuanyanniao	phosphate urine
linsuanyanliao	phosphate urine
linsuanyanniao	phosphate urine
linzexu	Lin Zexu or Lin Tse-hsu "Commissioner Lin" (1785-1850), Qing official whose anti-opium activities led to first Opium war with Britain 1840-1842
linzhexu	Lin Zexu or Lin Tse-hsu "Commissioner Lin" (1785-1850), Qing official whose anti-opium activities led to first Opium war with Britain 1840-1842
liqingwa	strip slate
liqinwa	strip slate
litamade	fuck you
liubian	bull's penis (served as food)
liubian	ox penis and testes
liubian	penis et testis bovis
liucan	abortion
liucan	elective abortion
liuchan	abortion
liuchan	elective abortion
liuke	penis et testis bovis
liuyueke	new york strip
liyong	fuck
ljp	connecting strip
ljt	bond strip
ljt	bonding strip
ljt	connecting strip
ll	naked
lmk	naked short selling
lmk	naked short-selling
lmk	naked shorting
longbi	disuria and urine retention
longbi	illness having to do with obstruction of urine flow
longbi	retention of urine
louliao	leakage of urine
louniao	leakage of urine
louti	naked
lqw	strip slate
lsyn	phosphate urine
lt	naked
lth	nude
lth	nude painting
ltk	strip mine
ltk	strip mines
ltk	strip ours
ltk	strip-mines
ltkc	strip mining
ltkc	strip minings
ltkc	strip-mine
ltkc	strip-mined
ltkc	strip-minings
ltkg	strip miner
ltw	naked dance
luan	(old) penis
luan	penis
luanlong	fuck about with
luannong	fuck about with
lubian	deer penis and testes
lubian	penis cervi
lubian	penis et testis cervi
ludou	semen phaseoli
ludou	semen vignae radiatae
lueduo	rape
lunbao	to gang rape
lunjian	gang rape
lunjian	gang-rape
lunjian	pack rape
lunjian	to gang rape
luo	naked
luoben	nude run
luoben	nude runs
luoben	to streak (run naked)
luobeng	nude run
luobeng	nude runs
luobeng	to streak (run naked)
luobotiao	preserved radish strip
luoceng	to become naked
luochen	to become naked
luocheng	to become naked
luodianlan	naked cable
luoguan	naked pipe
luohun	lit. naked wedding
luohun	naked marriage
luoji	naked machine
luoli	naked carp
luolu	naked
luolv	naked lady
luolv	naked-lady
luomaikong	naked short selling
luomaikong	naked short-selling
luomaikong	naked shorting
luomo	nude model
luonu	naked lady
luonu	naked-lady
luonv	naked lady
luonv	naked-lady
luosen	naked-tailed
luoshen	naked-tailed
luosheng	naked-tailed
luoshi	naked eyes
luoshi	naked-eyes
luoshu	naked mole rat
luoshu	naked mole rats
luoshu	naked mouse
luoshu	nude mice
luosu	naked mole rat
luosu	naked mole rats
luosu	naked mouse
luosu	nude mice
luotan	naked
luoti	body double (in nude scenes)
luoti	get naked
luoti	naked
luoti	nude
luoti	strip-jack-naked
luoti	the nude
luotihua	nude
luotihua	nude painting
luotiwu	naked dance
luoxi	nude scene (in a movie)
luoxiang	nude
luoxiang	nude (painting, sculpture etc)
luoyan	naked eye
luoyan	naked-eye
luoyanshili	naked vision
luoyanshili	naked visual acuity
luoyanshili	visible to the naked eye
luoyanshu	naked mole rat
luoyansili	naked vision
luoyansili	naked visual acuity
luoyansili	visible to the naked eye
luoyansu	naked mole rat
luoyuanzhi	nude atom
luoyuanzi	nude atom
luozao	nude photograph
luozhao	nude photograph
luozhuang	in nude
lupian	aluminium strip
lutan	naked
lutiankaicai	strip mining
lutiankaicai	strip minings
lutiankaicai	strip-mine
lutiankaicai	strip-mined
lutiankaicai	strip-minings
lutiankaichai	strip mining
lutiankaichai	strip minings
lutiankaichai	strip-mine
lutiankaichai	strip-mined
lutiankaichai	strip-minings
lutiankuang	strip mine
lutiankuang	strip mines
lutiankuang	strip ours
lutiankuang	strip-mines
lutiankuanggong	strip miner
lutiao	aluminum strip
luyindai	recorder strip
luyingdai	recorder strip
lvdou	semen phaseoli
lvdou	semen vignae radiatae
lvedai	torture
lvedaiertong	torture of children
lveduo	rape
lvesha	torture-murder
lvpian	aluminium strip
lvtiao	aluminum strip
lvtisheng	nyotaimori or "body sushi", Japanese practice of serving sushi on the body of a naked woman
lxzl	cooling blood to stop diarrhea
lyd	recorder strip
lysl	naked vision
lysl	naked visual acuity
lysl	visible to the naked eye
lyxcb	cochin china diarrhea
lyxcb	cochin-china diarrhea
lyz	nude atom
lz	penis
lzh	semen litchi
lzx	Lin Zexu or Lin Tse-hsu "Commissioner Lin" (1785-1850), Qing official whose anti-opium activities led to first Opium war with Britain 1840-1842
mabinglang	semen capparis masaikai
mabingnang	semen capparis masaikai
mabinlang	semen capparis masaikai
mafan	quero
maidongbuwendingdai	pulsation instability strip
maidongbuwengdingdai	pulsation instability strip
maisen	prostitute
maisen	to prostitute oneself
maishen	prostitute
maishen	to prostitute oneself
maisheng	prostitute
maisheng	to prostitute oneself
maixiao	to prostitute oneself
maiyin	prostitute
maiyin	prostitute oneself
maiyin	to prostitute oneself
maiyin	whore
maiyinde	prostitute
maiying	prostitute
maiying	prostitute oneself
maiying	to prostitute oneself
maiying	whore
maiyingde	prostitute
make	donkeg penis and testes
malagebazhi	fuck!
malagebazi	fuck!
malegebazhi	fuck!
malegebazi	fuck!
managebazi	fuck!
manegebazi	fuck!
manxinfuxie	chronic diarrhea
manxingfuxie	chronic diarrhea
maomaoqiu	porn
maoshikafei	kopi luwak or civet coffee, made from coffee beans plucked from Asian palm civet's feces
maosikafei	kopi luwak or civet coffee, made from coffee beans plucked from Asian palm civet's feces
maqianzhi	semen strychni
maqianzi	semen strychni
matou	pierpont
mazhuiji	opium
mazuiji	opium
mbd	naked
mbwsd	mobius strip
mbwsd	moebius strip
mbz	semen momordicae
mbz	to commit suicide
mdbwdd	pulsation instability strip
mdg	semen gynocardiae odoratae
meishi	food porn
meisi	food porn
meiyou	be naked of
meiyou	naked of
meiyoushengqi	soul
mengkan	carpet strip
menkan	carpet strip
mfb	close-fitting strip
mfd	seal strip
mfd	sealed strip
mfd	sealing strip
mfjt	sealing joint strip
mft	draught excluder strip
mft	gland strip
mft	weather strip
miejuezhongzhu	genocide
miejuezhongzhuzhui	crime of genocide
miejuezhongzu	genocide
miejuezhongzuzui	crime of genocide
miejuezongzu	genocide
miejuezongzuzui	crime of genocide
miezhong	to commit genocide
miezhongzhui	genocide
miezhongzui	genocide
miezong	to commit genocide
miezongzui	genocide
mifenban	close-fitting strip
mifendai	seal strip
mifendai	sealed strip
mifendai	sealing strip
mifeng	sponge rubber strip sealing
mifengban	close-fitting strip
mifengdai	seal strip
mifengdai	sealed strip
mifengdai	sealing strip
mifengjiaotiao	sealing joint strip
mifengtiao	draught excluder strip
mifengtiao	gland strip
mifengtiao	weather strip
mifenjiaotiao	sealing joint strip
mifentiao	draught excluder strip
mifentiao	gland strip
mifentiao	weather strip
mijian	to drug and then rape sb
miliao	urologic and male genital tuberculosis
minbaide	naked
mingbaide	naked
minghuo	naked fire
minghuo	naked flame
minghuo	naked lights
mingpai	designation strip
minhuo	naked fire
minhuo	naked flame
minhuo	naked lights
miniao	urologic and male genital tuberculosis
minpai	designation strip
mjzz	genocide
mjzzz	crime of genocide
mlgbz	fuck!
mmcc	fuck the dog
mmq	porn
mobiwushidai	mobius strip
mobiwushidai	moebius strip
mobiwusidai	mobius strip
mobiwusidai	moebius strip
mobozhi	to commit suicide
mobozi	to commit suicide
momocencen	fuck the dog
momocengceng	fuck the dog
momochengcheng	fuck the dog
moxiangjin	sperm whale
moxiangjin	sperm whale (Physeter macrocephalus)
moxiangjin	sperm whales
moxiangjing	sperm whale
moxiangjing	sperm whale (Physeter macrocephalus)
moxiangjing	sperm whales
moze	to torture
moze	torture
mozhe	to torture
mozhe	torture
mqz	semen strychni
mskf	kopi luwak or civet coffee, made from coffee beans plucked from Asian palm civet's feces
mtdb	strip wooden flooring
mudou	semen cajani
mutiaodiban	strip wooden flooring
mxfx	chronic diarrhea
mxj	sperm whale
mxj	sperm whale (Physeter macrocephalus)
mxj	sperm whales
myd	prostitute
mzj	opium
mzz	genocide
naduzi	(coll.) to have diarrhea
naifuzi	semen raphani sativi
nakai	pull-strip
nangfeishijian	fuck the dog
nangfeishijian	to fuck around
nanguazhi	semen cucurbita
nanguazhi	semen cucurbitae
nanguazhi	semen cucurbitae moschatae
nanguazi	semen cucurbita
nanguazi	semen cucurbitae
nanguazi	semen cucurbitae moschatae
nanian	lock strip
nanji	male prostitute
nanji	whore
nanjindatusha	rape of nanking
nanjingdatusa	rape of nanking
nanjingdatusha	rape of nanking
nanjingtiaoyue	Treaty of Nanjing (1842) that concluded the First Opium War between Qing China and Britain
nanjintiaoyue	Treaty of Nanjing (1842) that concluded the First Opium War between Qing China and Britain
nanmei	semen trigonellae
naoduzhi	(coll.) to have diarrhea
naoduzi	(coll.) to have diarrhea
naoer	(slang) penis
naoshiqu	rumble strip
naosiqu	rumble strip
natiao	lashing strip
naxi	(coll.) to have diarrhea
nazhou	strip
nazou	strip
nbz	specific gravity of urine
nbz	urine specific gravity
ncz	urine sediments analyzer
ndet	torture of children
ndfm	amylase in urine
ndfm	urine amylase
ndhmtq	cavernae corporis spongiosi penis
ndhs	urine bilirubin
ndsy	urine urobilinogen
ndsz	fuck-you finger
ndz	(coll.) to have diarrhea
necfacd	urine catecholamine determination
neitiao	rib strip
neiyuanxianchongbing	cochin china diarrhea
neiyuanxianchongbing	cochin-china diarrhea
ng	penis
ngz	semen cucurbita
ngz	semen cucurbitae
ngz	semen cucurbitae moschatae
nhd	adhesive strip
nhyl	dribble of urine
niangxipi	(dialect) fuck!
niangxuezhini	cooling blood to stop diarrhea
nianhedai	adhesive strip
nianhuantu	comic strip
nianjiepian	connecting strip
nianjietiao	bond strip
nianjietiao	bonding strip
nianjietiao	connecting strip
nianzi	nelumbinis semen
nianzi	semen nelumbinis
nianzu	footjob
niao	concentration in urine and plasma
niao	male genital organ
niao	urine
niaoben	profuse urine
niaobeng	profuse urine
niaobi	retention of urine
niaobi	sappression of urine
niaobi	suppression of urine
niaobi	urine suppression
niaobizhong	specific gravity of urine
niaobizhong	urine specific gravity
niaobizong	specific gravity of urine
niaobizong	urine specific gravity
niaodanhongshu	urine bilirubin
niaodanhongsu	urine bilirubin
niaodanshuyuan	urine urobilinogen
niaodansuyuan	urine urobilinogen
niaodaohaimiantiqiang	cavernae corporis spongiosi penis
niaodianfengmei	amylase in urine
niaodianfengmei	urine amylase
niaodianfenmei	amylase in urine
niaodianfenmei	urine amylase
