pinyin_key	rank	candidate
gurouxiangchan	1	close kindred slaughter one another (idiom); internecine strife
guzangweizi	1	abort situation
guzhangweizhi	1	abort situation
gwmd	1	syphilis of testis
gwmd	2	testicular syphilis
gzs	9	piece of shit
gzs	62	slaughter man
gzwz	5	abort situation
gzz	9	damn bastard
gzz	10	son of a bitch
gzz	11	(derog.) son of a bitch
haigoubian	1	seal penis
haigoubian	2	penis otariae
haigousen	1	ursine seal testes and penis
haigousen	2	ursine seal's testes and penis
haigousen	4	testis et penis callorhimi
haigousen	5	testis et penis otariae
haigoushen	1	ursine seal testes and penis
haigoushen	2	ursine seal's testes and penis
haigoushen	4	testis et penis callorhimi
haigoushen	5	testis et penis otariae
haigousheng	1	ursine seal testes and penis
haigousheng	2	ursine seal's testes and penis
haigousheng	4	testis et penis callorhimi
haigousheng	5	testis et penis otariae
hailuoyin	1	heroin
hailuoyin	2	heroin (loanword)
hailuoyin	21	heroin or cocaine
hailuoyin	51	heroin (narcotic) (loanword)
hailuoying	1	heroin (narcotic) (loanword)
hailuoying	5	heroin
hailuoying	6	heroin (loanword)
hailuoying	25	heroin or cocaine
hainuoyin	1	heroin
hainuoyin	2	heroin (loanword)
hainuoyin	21	heroin or cocaine
hainuoying	1	heroin (narcotic) (loanword)
haipa	39	shit oneself
haisongzhi	3	semen pini koraiensis
haisongzi	3	semen pini koraiensis
hala	3	slaughter
hala	5	to slaughter
hana	3	slaughter
hana	5	to slaughter
hanzhi	7	idiot
hanzi	6	idiot
haobuguanxin	2	give a shit
haobuguanxin	4	not give a shit
haobuguanxing	2	give a shit
haobuguanxing	4	not give a shit
haodongxi	4	good shit
haojie	6	holocaust
haojiehou	3	post-holocaust
haowujiazhi	20	not worth a shit
haowujiazi	20	not worth a shit
hbgx	9	give a shit
hbgx	11	not give a shit
hd	34	bastard
hdx	2	bastard
hdx	18	good shit
hehuan	8	bastard tamarind
heidou	5	semen sojae atricolor
heizhongcaozhi	3	semen nigellae
heizhongcaozhi	5	semen nigellae glanduliferae
heizhongcaozi	3	semen nigellae
heizhongcaozi	5	semen nigellae glanduliferae
heizhongchaozi	3	semen nigellae
heizhongchaozi	5	semen nigellae glanduliferae
heizongcaozi	3	semen nigellae
heizongcaozi	5	semen nigellae glanduliferae
hetaoren	3	juglandis semen
hetaoren	4	semen juglandis
hetaoren	5	semen juplandis
hetaoreng	3	juglandis semen
hetaoreng	4	semen juglandis
hetaoreng	5	semen juplandis
hgb	5	seal penis
hjh	4	dirty bastard
hjh	34	post-holocaust
hly	1	heroin
hly	5	heroin (loanword)
hly	9	heroin (narcotic) (loanword)
hly	37	heroin or cocaine
hmmd	1	syphilis of synovium
hongxiaodou	4	semen phaseoli
houtianxingyindaobishuo	1	acquired atresia of vagina
houtianxingyindaobisuo	1	acquired atresia of vagina
houtianxingyingdaobisuo	1	acquired atresia of vagina
houtianxinyindaobisuo	1	acquired atresia of vagina
hps	16	bastard amber
hq	40	bastard
hqyh	5	expiratory flow retard
hrb	4	black vomit
hsbd	12	bull-shit
hsbd	13	dog-shit
hsbd	17	bull shit
hsp	8	retard tablets
htxydbs	1	acquired atresia of vagina
huaidan	1	bastard
huaidongxi	1	bastard
huaijiahuo	3	dirty bastard
huamomeidu	1	syphilis of synovium
huanggousen	1	testis et penis canitis
huanggoushen	1	testis et penis canitis
huanggousheng	1	testis et penis canitis
huanghua	16	horse-shit
huangrebin	4	black vomit
huangrebing	4	black vomit
huanshipian	1	retard tablets
huansipian	1	retard tablets
huanwubingshuangaotong	1	testosterone-retard
huanwubingsuangaotong	1	testosterone-retard
huanwubinsuangaotong	1	testosterone-retard
huatai	5	habitual abortion
huatou	12	piss artists
huayeqiao	2	vagina mucosa
huihuo	34	piss away
huimie	43	holocaust
huiye	1	bastard indigo
huiye	4	bastard indigoes
huiyinbu	1	ano-genital
huiyingbu	1	ano-genital
hulao	38	piss about
hulao	39	piss around
huluzhi	3	semen lagenariae sicerariae
huluzi	3	semen lagenariae sicerariae
humazhi	4	semen lini
humazi	4	semen lini
hunao	38	piss about
hunao	39	piss around
hundan	1	bastard
hundan	19	a son of a bitch
hundan	21	son of a bitch
hunqiu	1	bastard
hunuzi	3	semen lagenariae sicerariae
hupose	6	bastard amber
huposhe	6	bastard amber
huqiyanhuan	1	expiratory flow retard
hushuo	29	shit
hushuo	48	horse-shit
hushuobadao	10	bull-shit
hushuobadao	11	dog-shit
hushuobadao	15	bull shit
husuo	33	shit
husuo	52	horse-shit
husuobadao	10	bull-shit
husuobadao	11	dog-shit
husuobadao	15	bull shit
hutaoren	3	semen juglandis
hutaoreng	3	semen juglandis
hwbsgt	1	testosterone-retard
hwjz	20	not worth a shit
hzcz	3	semen nigellae
hzcz	5	semen nigellae glanduliferae
jbf	20	undress uniform
jbq	51	shit-stirrer
jcj	14	piss-house
jdb	17	bowel movement
jdbxyds	10	insulyl-retard
jdmq	3	vagina carotica
jdsd	2	retard
jdsd	5	to retard
jdxf	5	orgasm
jhmq	2	vagina synovialis tendinis
jiafen	39	bastard suture
jiafeng	10	bastard suture
jiahua	7	shit
jiahuo	14	bastard
jialigangjin	1	erection bar
jialigangjin	2	erection reinforcement
jialigangjing	1	erection bar
jialigangjing	2	erection reinforcement
jiandishudu	2	retard
jiandishudu	4	to retard
jiandisudu	2	retard
jiandisudu	4	to retard
jiangtanglin	1	db retard
jiangtangling	1	db retard
jiangtangning	1	db retard
jiangui	9	holy shit
jianhuamoqiao	2	vagina synovialis tendinis
jianhuan	1	retard
jianhuan	2	to retard
jianhuo	1	bitch
jianigangjin	1	erection bar
jianigangjin	2	erection reinforcement
jianman	7	retard
jianren	14	bitch-ass
jianren	17	bitch-whores
jianreng	14	bitch-ass
jianreng	17	bitch-whores
jianruishiyou	1	genital wart
jianruisiyou	1	genital wart
jiansengdaxiao	1	screaming orgasm
jianshendaxiao	1	screaming orgasm
jianshengdaxiao	1	screaming orgasm
jiansu	14	retard
jianyu	43	piss-house
jianzhishi	4	piece of shit
jianzhishi	5	piece-of-shit
jianzhisi	4	piece of shit
jianzhisi	5	piece-of-shit
jianzishi	4	piece of shit
jianzishi	5	piece-of-shit
jiaoban	29	shit-stir
jiaoban	38	shit-stirring
jiaobanqi	20	shit-stirrer
jiaobanqi	39	shit-stirrers
jiaokubudie	2	to complain without stopping (idiom); to bitch endlessly
jiaqiaoji	1	bridge-erection crane
jiaqiaoji	2	bridge girder erection machine
jiawawa	1	(coll.) to induce an abortion (Tw)
jiba	2	penis
jiba	3	penis (vulgar)
jiduxinfen	3	orgasm
jiduxingfen	3	orgasm
jiduxingfeng	3	orgasm
jiecaizhi	3	semen brassicae iunceae
jiecaizi	3	semen brassicae iunceae
jiechaizi	3	semen brassicae iunceae
jiedabian	1	bowel movement
jiejiejianjianqiao	2	vagina tendinis intertubercularis
jiexiaoshou	1	urinate
jiexiaoshou	2	(coll.) to urinate
jiexiaosou	1	urinate
jiexiaosou	2	(coll.) to urinate
jifeng	38	piss taking
jifeng	39	piss-taking
jifeng	40	piss-takings
jiguanzhi	3	semen celosiae cristatae
jiguanzi	3	semen celosiae cristatae
jiliuliucan	1	missed abortion
jiliuliuchan	1	missed abortion
jinchaju	5	piss-house
jindanbaixinyidaosu	10	insulyl-retard
jindongmaiqiao	2	vagina carotica
jindongmaiqiao	3	vagina carotica fasciae cervicalis
jingaodeng	4	idiot light
jingaodeng	5	idiot lights
jingcaju	5	piss-house
jingchaju	5	piss-house
jingdanbaixingyidaosu	10	insulyl-retard
jingdanbaixinyidaoshu	10	insulyl-retard
jingdanbaixinyidaosu	10	insulyl-retard
jingdongmaiqiao	2	vagina carotica
jingdongmaiqiao	3	vagina carotica fasciae cervicalis
jinggaoden	4	idiot light
jinggaoden	5	idiot lights
jinggaodeng	4	idiot light
jinggaodeng	5	idiot lights
jinglangmeidu	1	syphilis of seminal vesicle
jingnangmeidu	1	syphilis of seminal vesicle
jingshuo	1	genital cord
jingsuo	1	genital cord
jingtuqiao	1	vagina processus styloidei
jingtuqiao	2	vagina processus styloidis
jingxingxiexie	1	menstrual diarrhea
jingxingxiexie	2	diarrhea during menstruation
jingxingxiexie	3	diarrhea associated with menstruation
jingye	1	semen
jingyebaochun	1	semen conservation
jingyebaochun	2	semen preservation
jingyebaochun	3	semen storage
jingyebaocun	1	semen conservation
jingyebaocun	2	semen preservation
jingyebaocun	3	semen storage
jingyebuyehua	1	nonliquefaction of semen
jingyecanggui	1	semen analysis
jingyechanggui	1	semen analysis
jingyefengxi	1	semen analysis
jingyefengxi	2	analysis of semen
jingyefenxi	1	semen analysis
jingyefenxi	2	analysis of semen
jingyejianca	1	semen examination
jingyejianca	2	semen measurement
jingyejianca	4	examination of semen
jingyejiancha	1	semen examination
jingyejiancha	2	semen measurement
jingyejiancha	4	examination of semen
jingyelengdong	1	semen freezing
jingyelengdong	2	freezing of semen
jingyelengdong	3	deep freezing of semen
jingyeliang	1	semen volume
jingyenengdong	1	semen freezing
jingyenengdong	2	freezing of semen
jingyenengdong	3	deep freezing of semen
jingyeniang	1	semen volume
jingyexishiji	1	semen diluent
jingyexisiji	1	semen diluent
jingyeyundongxing	1	semen motility
jingyindao	1	per vagina
jingyingdao	1	per vagina
jiniuniuchan	1	missed abortion
jinnangmeidu	1	syphilis of seminal vesicle
jintuqiao	1	vagina processus styloidei
jintuqiao	2	vagina processus styloidis
jinxinxiexie	1	menstrual diarrhea
jinxinxiexie	2	diarrhea during menstruation
jinxinxiexie	3	diarrhea associated with menstruation
jinyebaocun	1	semen conservation
jinyebaocun	2	semen preservation
jinyebaocun	3	semen storage
jinyebuyehua	1	nonliquefaction of semen
jinyechanggui	1	semen analysis
jinyefenxi	1	semen analysis
jinyefenxi	2	analysis of semen
jinyejiancha	1	semen examination
jinyejiancha	2	semen measurement
jinyejiancha	4	examination of semen
jinyelengdong	1	semen freezing
jinyelengdong	2	freezing of semen
jinyelengdong	3	deep freezing of semen
jinyeliang	1	semen volume
jinyexishiji	1	semen diluent
jinyeyundongxin	1	semen motility
jinyindao	2	per vagina
jiroumeidu	1	syphilis of muscle
jitiqiangjian	1	gang raped
jitoumi	2	Semen euryales (botany)
jitu	1	protruding nipples or bulging penis (contours of intimate body parts visible through clothing)
jiubajian	14	piss factory
jiucaizhi	5	semen alli tuberosi
jiucaizi	5	semen alli tuberosi
jiuchaizi	5	semen alli tuberosi
jiuguan	23	piss factory
jiugui	27	piss-head
jiugui	28	piss-heads
jiugui	40	piss artist
jiugui	41	piss artists
jiugui	42	piss-artist
jixinglinbing	1	acute gonorrhea
jixinglingbing	1	acute gonorrhea
jixingninbing	1	acute gonorrhea
jixinlinbin	1	acute gonorrhea
jjjjq	2	vagina tendinis intertubercularis
jkbd	2	to complain without stopping (idiom); to bitch endlessly
jlgj	5	erection bar
jllc	1	missed abortion
jnmd	1	syphilis of seminal vesicle
jrmd	1	syphilis of muscle
jrsy	1	genital wart
jsdx	1	screaming orgasm
jtl	16	db retard
jtqj	1	gang raped
jujian	10	bastard sword
junbianfu	3	undress uniform
jww	3	(coll.) to induce an abortion (Tw)
jxlb	1	acute gonorrhea
jxs	16	urinate
jxs	22	(coll.) to urinate
jxxx	4	menstrual diarrhea
jxxx	5	diarrhea during menstruation
jybc	1	semen conservation
jybc	2	semen preservation
jybc	3	semen storage
jybyh	1	nonliquefaction of semen
jycg	2	semen analysis
jyld	5	semen freezing
jyxsj	1	semen diluent
jyydx	1	semen motility
jzs	28	piece of shit
jzs	29	piece-of-shit
kekayin	1	cocaine
kekayin	2	cocaine (loanword)
kekayin	8	b-cocaine
kekayin	9	l-cocaine
kekayin	13	rock cocaine
kekayin	14	heroin or cocaine
kekayin	15	bouncing powder cocaine
kekaying	1	cocaine
kekaying	2	cocaine (loanword)
kekaying	8	b-cocaine
kekaying	9	l-cocaine
kekaying	13	rock cocaine
kekaying	14	heroin or cocaine
kekaying	15	bouncing powder cocaine
khk	4	shooting the shit
khk	5	shoots the shit
khk	6	shot the shit
kkqt	21	piss and wind
kky	1	cocaine
kky	2	cocaine (loanword)
kky	8	b-cocaine
kky	9	l-cocaine
kky	14	rock cocaine
kky	15	heroin or cocaine
kky	22	bouncing powder cocaine
kongdong	4	condom
kongdong	5	condom (loanword)
konghua	21	piss and wind
kongxiahuyu	1	trypauchen vagina
kouyu	17	the runs
kuahaikou	4	shooting the shit
kuahaikou	5	shoots the shit
kuahaikou	6	shot the shit
kuakuaqitan	21	piss and wind
kuangbao	13	go ape shit
kuanghuan	40	shit shows
kuangyin	17	piss-up
kuangyin	18	piss-ups
kuangyin	23	piss up
kuangying	20	piss-up
kuangying	21	piss-ups
kuangying	26	piss up
kuanyijiedai	1	undress
kuanyijiedai	2	to undress
kushilian	1	semen caesalpiniae minacis
kushinian	1	semen caesalpiniae minacis
kusilian	1	semen caesalpiniae minacis
kxhy	1	trypauchen vagina
kyjd	1	undress
kyjd	2	to undress
lacui	1	Nazi
lacui	2	Nazi (loanword)
lacuidang	1	Nazi Party
lacuidang	3	nazi parties
lacuideguo	1	Nazi Germany (1933-1945)
lacuideguo	2	nazi germany
lacuifenzi	1	Nazi
lacuili	1	nazi salute
laduzhi	3	loose bowels
laduzhi	7	have loose bowels
laduzi	3	loose bowels
laduzi	7	have loose bowels
laifuzhi	4	raphani semen
laifuzhi	5	semen raphani
laifuzi	4	raphani semen
laifuzi	5	semen raphani
lajidai	8	shit bags
langen	1	penis
langfeishijian	30	piss about
langfeishijian	42	piss in the wind
langfeisijian	30	piss about
langfeisijian	42	piss in the wind
lanjingdatusha	1	the Nanjing Massacre of 1937-38
lanjingdatusha	2	nanjing massacre
lansa	2	massacre
lansa	3	to massacre
lansawugu	1	willfully slaughter the innocent (idiom)
lansha	1	massacre
lansha	2	to massacre
lanshawugu	1	willfully slaughter the innocent (idiom)
lanxingleishengzhiqi	2	male internal genital organs
lanxingshengzhiqiguan	1	male genital organs
lanxingshengzhiqiguan	2	male genital orgnas
lanxingshengzhiqipizhen	1	genital eruption male
lanxingshengzhixitong	1	male genital system
lanxingwaishengzhiqi	2	male external genital organs
lanxingwaishengzhiqiguan	1	external genital organs of male
laoai	1	Lao Ai (-238 BC), man of Qin famous for his giant penis
laobushi	2	old bastard
laobusi	1	old bastard
laocan	4	retard
laodao	42	bitch around
laodongxi	1	old bastard
laoer	1	penis
laoer	4	(slang) penis
lashi	3	shit
lashi	6	to shit
lashi	18	take a shit
lashi	19	taken a shit
lashi	20	takes a shit
lashi	21	taking a shit
lashi	22	took a shit
lasi	28	shit
lasi	31	to shit
lasi	43	take a shit
lasi	44	taken a shit
lasi	45	takes a shit
lasi	46	taking a shit
lasi	47	took a shit
lb	42	gonorrhea
lbq	17	hot-shit
lbq	30	hot shit
lbs	5	old bastard
lbxjmy	1	ophthalmic gonorrhea
lcb	7	"green tea bitch", a girl who seems innocent and charming but is actually calculating and manipulative
lch	3	post-abortion
lcyy	5	abortion-clinic
ldcx	3	syphilis of lacrimal passages
ldjy	5	frozen semen
ldx	7	old bastard
ldz	52	loose bowels
ldz	58	have loose bowels
leibu	15	bowel
leidaochongxi	3	syphilis of lacrimal passages
leidaocongxi	3	syphilis of lacrimal passages
leishengzhiqi	1	internal genital
leizang	3	bowel
lengdongjingye	1	frozen semen
lengdongjinye	1	frozen semen
lfsj	30	piss about
lfsj	42	piss in the wind
lhj	61	angle of retard
lianzhixin	5	semen nelumbinis
lianzixin	5	semen nelumbinis
lianzixing	5	semen nelumbinis
liaobuqi	4	hot-shit
liaobuqi	8	hot shit
liaochenzha	1	urine sediments analyzer
liaodaohaimiantibaimo	3	albuginea of spongy body of penis
liaodaohaimiantibaimo	4	albuginea of spongy dody of penis
liaodaohaimiantiqiang	2	caverns of spongy body of penis
liaodaohaimiantixiaoliang	2	trabeculae corporis spongiosi penis
liaodaohaimiantixiaoliang	4	trabeculae of spongy body of penis
liaodaoqiu	1	bulb of penis
liaofen	6	bird shit
liaohu	5	a piss pot
liaokuzi	1	piss myself
liaoshi	12	bird shit
liaotian	19	shit-talk
liaotong	4	piss-bucket
liezhimei	1	bastard coal
liezimei	1	bastard coal
lihuogai	1	tough shit
lin	11	gonorrhea
linbin	1	gonorrhea
linbin	6	gonorrhea venereal disease
linbing	1	gonorrhea
linbing	6	gonorrhea venereal disease
linbingxingjiemoyan	1	ophthalmic gonorrhea
linbinxinjiemoyan	1	ophthalmic gonorrhea
lingbing	1	gonorrhea
lingbing	6	gonorrhea venereal disease
lingbingxingjiemoyan	1	ophthalmic gonorrhea
linghao	2	(slang) bottom (in a homosexual relationship)
lingqi	21	lynch
lingqi	24	jessica lynch
lingqiujun	1	Neisseria gonorrhoeae, the pathogen causing gonorrhea
linhao	2	(slang) bottom (in a homosexual relationship)
linqi	4	lynch
linqi	7	jessica lynch
linqiujun	1	Neisseria gonorrhoeae, the pathogen causing gonorrhea
liubi	6	bastard
liubi	9	bastard (vulgar)
liucan	6	abort
liucan	13	abort-
liucanhou	1	post-abortion
liucanlv	1	abortion rate
liucanlv	2	abortion ratio
liucanlv	3	rate of abortion
liucanyiyuan	1	abortion-clinic
liuchan	6	abort
liuchan	13	abort-
liuchanhou	1	post-abortion
liuchanlu	1	abortion rate
liuchanlu	2	abortion ratio
liuchanlu	3	rate of abortion
liuchanlv	1	abortion rate
liuchanlv	2	abortion ratio
liuchanlv	3	rate of abortion
liuchanyiyuan	1	abortion-clinic
liushi	58	bull-shit
liushi	60	bull shit
liusoumabo	2	cow's piss, horse's ulcer (idiom); worthless nonsense
liuxingxingqiangweizen	2	bastard measle
liuxingxingqiangweizhen	2	bastard measle
liuxingxingqiangweizheng	2	bastard measle
liuxinxinqiangweizhen	2	bastard measle
liuyanmaqian	3	semen strychni angustiflorae
lizhihe	5	semen litchi
lizihe	5	semen litchi
longhuai	24	make a bitch of
longyang	2	(coll.) male homosexual
longyangjun	1	homosexual
longyangjun	2	homosexual (positive term)
longzao	32	bitch
longzao	40	bitch up
lqj	5	Neisseria gonorrhoeae, the pathogen causing gonorrhea
ls	52	shit
lswg	1	willfully slaughter the innocent (idiom)
luantong	6	catamite (boy as homosexual partner)
luanzhi	2	penis
luanzi	2	penis
luchabiao	1	"green tea bitch", a girl who seems innocent and charming but is actually calculating and manipulative
lunjian	2	gang-raped
lunjian	4	gang raped
luoceng	2	undress
luoceng	4	to undress
luochen	8	undress
luochen	10	to undress
luocheng	2	undress
luocheng	4	to undress
luohoujiao	2	angle of retard
luohuangzhi	2	semen sterculiae nobilis
luohuangzi	2	semen sterculiae nobilis
luoti	4	undress
luoxuanti	10	spiral-shaped bacterium, e.g. causing syphilis
lusongguo	5	semen strychni ignatii
lvcabiao	1	"green tea bitch", a girl who seems innocent and charming but is actually calculating and manipulative
lvchabiao	1	"green tea bitch", a girl who seems innocent and charming but is actually calculating and manipulative
lvsongguo	5	semen strychni ignatii
lvxinggeli	2	female genital mutilation
lvxingleishengzhiqiguan	1	female internal genital organs
lvxingleishengzhiqiguan	2	internal genital organs of female
lvxingshengzhiqibing	1	genital disorder female
lvxingshengzhiqiguan	2	female genital mutilation
lvxingwaishengzhiqiguan	1	female external genital organs
lvxingwaishengzhiqiguan	2	external genital organs of female
lvyongbiyuntao	1	female condom
lxxqwz	2	bastard measle
lyj	3	homosexual
lyj	10	homosexual (positive term)
lzm	10	bastard coal
mabinglang	4	semen cappardis
mabingnang	4	semen cappardis
mabinlang	4	semen cappardis
madanguo	3	semen gynocardiae odoratae
mafandale	1	shit hits the fan
mafandane	1	shit hits the fan
mafanshi	1	bastard
mafansi	1	bastard
mafei	3	heroin
mafei	8	heroin or cocaine morphine
mafen	7	horse shit
mafeng	32	horse shit
maisa	2	to act like an idiot
maisha	2	to act like an idiot
maliao	7	horse piss
malu	4	idiot
malu	6	idiot (Japanese 'baka')
maniao	1	horse piss
manu	6	idiot
manu	8	idiot (Japanese 'baka')
manyuan	17	bitch
maoshikafei	2	"kopi luwak" or civet coffee, made from coffee beans plucked from Asian palm civet's feces
maosikafei	2	"kopi luwak" or civet coffee, made from coffee beans plucked from Asian palm civet's feces
maqianzhifen	3	semen strychni pulverratum
maqianzifen	3	semen strychni pulverratum
maqianzifeng	3	semen strychni pulverratum
mbky	4	that's a bitch
md	32	syphilis
mdc	7	bull bitch
mdsyjyx	1	syphilis test false positive
mdz	48	syphilis cutanea
meidu	1	syphilis
meidu	10	syphilis venereal disease
meidushiyanjiayangxin	1	syphilis test false positive
meidushiyanjiayangxing	1	syphilis test false positive
meidusiyanjiayangxing	1	syphilis test false positive
meiduzen	9	syphilis cutanea
meiduzhen	9	syphilis cutanea
meiduzheng	9	syphilis cutanea
meilin	6	merrill lynch
meiling	11	merrill lynch
meilingjituan	1	Merrill Lynch
meilingzhengquan	1	merrill lynch
meilinjituan	1	Merrill Lynch
meilinzengquan	1	merrill lynch
meilinzhengquan	1	merrill lynch
meilinzhenquan	1	merrill lynch
meinin	6	merrill lynch
meininjituan	1	Merrill Lynch
meininzhengquan	1	merrill lynch
meizhong	5	bitch out
meizong	5	bitch out
mengyi	4	wet dream
mengyi	5	nocturnal emission (ejaculation)
menyi	4	wet dream
menyi	5	nocturnal emission (ejaculation)
mfdl	1	shit hits the fan
mfs	11	bastard
miaobukeyan	2	that's a bitch
miliao	2	urinate
miliao	5	to urinate
miniao	1	urinate
miniao	4	to urinate
mljt	1	Merrill Lynch
mlzq	1	merrill lynch
mn	28	urinate
mn	60	to urinate
mqzf	4	semen strychni pulverratum
mskf	5	"kopi luwak" or civet coffee, made from coffee beans plucked from Asian palm civet's feces
mubiezhi	1	semen momordicae
mubiezi	1	semen momordicae
mudachong	1	bull bitch
mudacong	1	bull bitch
mugou	1	bitch
mugou	8	a bitch
muhudie	3	semen oroxyli
muhudie	4	semen qroxyli
mulang	1	bitch
munang	1	bitch
muquan	1	bitch
muyaozhi	1	semen entadae
muyaozi	1	semen entadae
nachui	1	Nazi
nachui	2	Nazi (loanword)
nachuidang	1	Nazi Party
nachuidang	3	nazi parties
nachuideguo	1	Nazi Germany (1933-1945)
nachuideguo	2	nazi germany
nachuifenzi	1	Nazi
nachuili	1	nazi salute
nacui	1	Nazi
nacui	2	Nazi (loanword)
nacuidang	1	Nazi Party
nacuidang	3	nazi parties
nacuideguo	1	Nazi Germany (1933-1945)
nacuideguo	2	nazi germany
nacuifengzi	1	Nazi
nacuifenzhi	1	Nazi
nacuifenzi	1	Nazi
nacuili	1	nazi salute
nacuini	1	nazi salute
naduzi	3	loose bowels
naduzi	7	have loose bowels
naifuzi	4	raphani semen
naifuzi	5	semen raphani
najidai	8	shit bags
nangen	1	penis
nangeng	1	penis
nangfeishijian	30	piss about
nangfeishijian	42	piss in the wind
nanjindatusha	1	the Nanjing Massacre of 1937-38
nanjindatusha	2	nanjing massacre
nanjingdatusa	1	the Nanjing Massacre of 1937-38
nanjingdatusa	2	nanjing massacre
nanjingdatusha	1	the Nanjing Massacre of 1937-38
nanjingdatusha	2	nanjing massacre
nansha	3	massacre
nansha	4	to massacre
nanshawugu	1	willfully slaughter the innocent (idiom)
nanxingneisengzhiqi	2	male internal genital organs
nanxingneishengzhiqi	2	male internal genital organs
nanxingneishengziqi	2	male internal genital organs
nanxingneishenzhiqi	2	male internal genital organs
nanxingsengzhiqiguan	1	male genital organs
nanxingsengzhiqiguan	2	male genital orgnas
nanxingsengzhiqipizhen	1	genital eruption male
nanxingsengzhixitong	1	male genital system
nanxingshengzhiqiguan	1	male genital organs
nanxingshengzhiqiguan	2	male genital orgnas
nanxingshengzhiqipizhen	1	genital eruption male
nanxingshengzhiqipizheng	1	genital eruption male
nanxingshengzhixitong	1	male genital system
nanxingshengziqiguan	1	male genital organs
nanxingshengziqiguan	2	male genital orgnas
nanxingshengziqipizen	1	genital eruption male
nanxingshengzixitong	1	male genital system
nanxingshenzhiqiguan	1	male genital organs
nanxingshenzhiqiguan	2	male genital orgnas
nanxingshenzhiqipizhen	1	genital eruption male
nanxingshenzhixitong	1	male genital system
nanxingwaisengzhiqi	2	male external genital organs
nanxingwaisengzhiqiguan	1	external genital organs of male
nanxingwaishengzhiqi	2	male external genital organs
nanxingwaishengzhiqiguan	1	external genital organs of male
nanxingwaishengziqi	2	male external genital organs
nanxingwaishengziqiguan	1	external genital organs of male
nanxingwaishenzhiqi	2	male external genital organs
nanxingwaishenzhiqiguan	1	external genital organs of male
nanxinneishengzhiqi	2	male internal genital organs
nanxinshengzhiqiguan	1	male genital organs
nanxinshengzhiqiguan	2	male genital orgnas
nanxinshengzhiqipizhen	1	genital eruption male
nanxinshengzhixitong	1	male genital system
nanxinwaishengzhiqi	2	male external genital organs
nanxinwaishengzhiqiguan	1	external genital organs of male
naoai	3	Lao Ai (-238 BC), man of Qin famous for his giant penis
naobusi	1	old bastard
naocan	4	retard
naochan	4	retard
naodao	49	bitch around
naodongxi	1	old bastard
naoer	3	penis
nashi	41	shit
nashi	44	to shit
nashi	56	take a shit
nashi	57	taken a shit
nashi	58	takes a shit
nashi	59	taking a shit
nashi	60	took a shit
nb	13	bastard
nb	48	bastard (vulgar)
nc	6	Nazi
nc	34	retard
nc	60	Nazi (loanword)
ncd	2	Nazi Party
ncd	8	nazi parties
ncdg	1	Nazi Germany (1933-1945)
ncdg	2	nazi germany
ncfz	1	Nazi
ncl	37	nazi salute
ndhmtbm	3	albuginea of spongy body of penis
ndhmtbm	4	albuginea of spongy dody of penis
ndhmtq	2	caverns of spongy body of penis
ndhmtxl	2	trabeculae corporis spongiosi penis
ndhmtxl	4	trabeculae of spongy body of penis
ndq	2	bulb of penis
neibu	9	bowel
neidaochongxi	3	syphilis of lacrimal passages
neisengzhiqi	1	internal genital
neishengzhiqi	1	internal genital
neishengziqi	1	internal genital
neishenzhiqi	1	internal genital
neizang	3	bowel
neizhang	6	bowel
nengdongjingye	1	frozen semen
nhg	6	tough shit
nianzixin	5	semen nelumbinis
niao	9	urinate
niao	17	to urinate
niao	23	piss
niaobuqi	4	hot-shit
niaobuqi	8	hot shit
niaocenzha	1	urine sediments analyzer
niaochengzha	1	urine sediments analyzer
niaochenza	1	urine sediments analyzer
niaochenzha	1	urine sediments analyzer
niaodaohaimiantibaimo	3	albuginea of spongy body of penis
niaodaohaimiantibaimo	4	albuginea of spongy dody of penis
niaodaohaimiantiqiang	2	caverns of spongy body of penis
niaodaohaimiantixiaoliang	2	trabeculae corporis spongiosi penis
niaodaohaimiantixiaoliang	4	trabeculae of spongy body of penis
niaodaohaimiantixiaoniang	2	trabeculae corporis spongiosi penis
niaodaohaimiantixiaoniang	4	trabeculae of spongy body of penis
niaodaoqiu	1	bulb of penis
niaofen	6	bird shit
niaofeng	6	bird shit
niaohu	5	a piss pot
niaokuzhi	1	piss myself
niaokuzi	1	piss myself
niaoshi	7	bird shit
niaosi	7	bird shit
niaotian	19	shit-talk
niaotong	2	piss-bucket
niezhimei	1	bastard coal
nihuogai	1	tough shit
nin	22	gonorrhea
ninbing	1	gonorrhea
ninbing	6	gonorrhea venereal disease
ninbingxingjiemoyan	1	ophthalmic gonorrhea
ninghao	3	(slang) bottom (in a homosexual relationship)
ninqi	4	lynch
ninqi	7	jessica lynch
ninqiujun	1	Neisseria gonorrhoeae, the pathogen causing gonorrhea
niubi	3	bastard
niubi	6	bastard (vulgar)
niubian	1	bull's penis (served as food)
niubian	5	ox penis and testes
niuchan	6	abort
niuchan	13	abort-
niuchanhou	1	post-abortion
niuchannv	1	abortion rate
niuchannv	2	abortion ratio
niuchannv	3	rate of abortion
niuchanyiyuan	1	abortion-clinic
niushi	3	bull-shit
niushi	5	bull shit
niushoumabo	2	cow's piss, horse's ulcer (idiom); worthless nonsense
niusi	3	bull-shit
niusi	5	bull shit
niusoumabo	2	cow's piss, horse's ulcer (idiom); worthless nonsense
niuxingxingqiangweizhen	2	bastard measle
